Date,City,State,Intensity,Valuation,Owner,Phone,Address,Status
2026-03-30,East Julie,ALABAMA,3.98,"$545,819",DEEP SEARCH REQ,UNVERIFIED,"9530 Farmers Road, , Alabama 36555",ALPHA LEAD
2026-04-03,South Laura,GEORGIA,3.91,"$660,453",DEEP SEARCH REQ,UNVERIFIED,"578 , , Georgia",ALPHA LEAD
2026-04-06,Thompsonchester,TEXAS,3.9,"$573,761",DEEP SEARCH REQ,UNVERIFIED,"9254 , , Chihuahua",ALPHA LEAD
2026-04-16,Eddieburgh,TEXAS,3.87,"$765,724",DEEP SEARCH REQ,UNVERIFIED,"6428 , , Texas",ALPHA LEAD
2026-04-06,New Taraburgh,VIRGINIA,3.86,"$786,539",DEEP SEARCH REQ,UNVERIFIED,"5972 Lick Creek Road, , Kentucky",ALPHA LEAD
2026-04-05,North Rebeccatown,TEXAS,3.86,"$742,569",DEEP SEARCH REQ,UNVERIFIED,"3193 , , Nuevo León",ALPHA LEAD
2026-04-22,West David,VIRGINIA,3.84,"$630,748",DEEP SEARCH REQ,UNVERIFIED,"857 Sarvis Fork Road, , West Virginia",ALPHA LEAD
2026-03-25,Johnsonshire,GEORGIA,3.84,"$715,607",DEEP SEARCH REQ,UNVERIFIED,"7120 County Line Church Road, , Georgia 31039",ALPHA LEAD
2026-04-20,Elizabethton,KANSAS,3.82,"$508,362",DEEP SEARCH REQ,UNVERIFIED,"06711 Road 37, , Kansas",ALPHA LEAD
2026-04-24,Jeffreyport,GEORGIA,3.8,"$695,727",DEEP SEARCH REQ,UNVERIFIED,"17078 15th Street, , Florida 32424",ALPHA LEAD
2026-03-30,Hernandezmouth,VIRGINIA,3.79,"$650,285",DEEP SEARCH REQ,UNVERIFIED,"3483 Horseshoe Bend Road, , Virginia 24095",ALPHA LEAD
2026-04-21,Christophermouth,ALABAMA,3.73,"$501,653",DEEP SEARCH REQ,UNVERIFIED,"68403 , , Georgia",ALPHA LEAD
2026-03-25,South Lori,VIRGINIA,3.71,"$611,845",DEEP SEARCH REQ,UNVERIFIED,"354 , , West Virginia 26269",ALPHA LEAD
2026-03-29,Brianstad,COLORADO,3.68,"$667,020",DEEP SEARCH REQ,UNVERIFIED,"10255 , , Colorado",ALPHA LEAD
2026-04-18,Port Randallton,VIRGINIA,3.65,"$615,542",DEEP SEARCH REQ,UNVERIFIED,"562 Medley Valley Road, , Virginia 24608",ALPHA LEAD
2026-04-12,Rubenville,NEBRASKA,3.64,"$564,912",DEEP SEARCH REQ,UNVERIFIED,"822 County Road W, , Nebraska 68464",ALPHA LEAD
2026-04-10,Michaelstad,ALABAMA,3.58,"$524,319",DEEP SEARCH REQ,UNVERIFIED,"555 County Road 293, Smiths Station, Alabama 36877",ALPHA LEAD
2026-04-14,North Darylton,COLORADO,3.57,"$701,968",DEEP SEARCH REQ,UNVERIFIED,"73711 South Platte River Road, , Colorado",ALPHA LEAD
2026-04-17,Bassside,NEBRASKA,3.57,"$541,912",DEEP SEARCH REQ,UNVERIFIED,"29091 Highway 50, , Nebraska 68441",ALPHA LEAD
2026-04-15,Erikaton,VIRGINIA,3.56,"$846,861",DEEP SEARCH REQ,UNVERIFIED,"9560 , Paintsville, Kentucky 41240",ALPHA LEAD
2026-03-29,Ellenshire,NEBRASKA,3.54,"$504,431",DEEP SEARCH REQ,UNVERIFIED,"85547 L Road, , Nebraska 68924",ALPHA LEAD
2026-04-03,Lake Christine,COLORADO,3.54,"$909,664",DEEP SEARCH REQ,UNVERIFIED,"86943 County Road K, , Colorado",ALPHA LEAD
2026-04-20,Lake Makayla,NEBRASKA,3.52,"$594,627",DEEP SEARCH REQ,UNVERIFIED,"436 Old Highway 101, , Nebraska",ALPHA LEAD
2026-04-21,North Michael,VIRGINIA,3.5,"$624,508",DEEP SEARCH REQ,UNVERIFIED,"541 Little Dry Hollow, Lexington, Virginia 24450",ALPHA LEAD
2026-04-17,Charlesburgh,VIRGINIA,3.49,"$709,343",DEEP SEARCH REQ,UNVERIFIED,"1071 , , Maryland",ALPHA LEAD
2026-04-12,South Matthewfort,GEORGIA,3.46,"$737,820",DEEP SEARCH REQ,UNVERIFIED,"7391 Minor Road, , Georgia",ALPHA LEAD
2026-04-13,Harmonview,OKLAHOMA,3.44,"$525,842",DEEP SEARCH REQ,UNVERIFIED,"0607 , , Texas",ALPHA LEAD
2026-04-17,Port Brianaberg,GEORGIA,3.43,"$611,257",DEEP SEARCH REQ,UNVERIFIED,"50347 , , South Carolina",ALPHA LEAD
