Date,City,Intensity,Valuation,Owner,Phone,Evidence,State
2026-04-23,South Karenland,3.99,"$254,712",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-15,Harriston,3.95,"$212,814",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-17,Edwardsberg,3.95,"$279,651",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-20,Bentleyfort,3.93,"$380,788",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-18,South Maria,3.91,"$228,001",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-03,South Laura,3.91,"$660,453",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-13,Adamsshire,3.9,"$434,653",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-06,Thompsonchester,3.9,"$573,761",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-14,Robertsfort,3.89,"$489,796",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-03,South Carlshire,3.88,"$317,568",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-15,Williamsfurt,3.87,"$348,604",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-16,Eddieburgh,3.87,"$765,724",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-06,New Taraburgh,3.86,"$786,539",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-05,North Rebeccatown,3.86,"$742,569",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-24,West Robert,3.86,"$232,665",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-19,Wilsonborough,3.85,"$318,396",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-22,West David,3.84,"$630,748",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-19,South John,3.83,"$241,505",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-20,Elizabethton,3.82,"$508,362",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-24,Jeffreyport,3.8,"$695,727",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-01,New Arthur,3.73,"$207,541",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-10,East Andrewfort,3.73,"$431,522",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-21,Christophermouth,3.73,"$501,653",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-04,Livingstonfurt,3.7,"$328,762",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-20,Popeland,3.68,"$233,900",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-18,New Annettehaven,3.67,"$363,455",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-02,North Madison,3.67,"$337,877",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-18,Port Randallton,3.65,"$615,542",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-22,Deniseport,3.65,"$266,272",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
