Date,City,Intensity,Valuation,Owner,Phone,Evidence,State,latitude,longitude
2026-04-23,South Karenland,3.99,"$254,712",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,39.1063,-96.3347
2026-04-15,Harriston,3.95,"$212,814",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,37.448,-98.4498
2026-04-17,Edwardsberg,3.95,"$279,651",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,42.376,-96.9778
2026-04-20,Bentleyfort,3.93,"$380,788",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO,37.6399,-105.7284
2026-04-18,South Maria,3.91,"$228,001",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,34.3379,-86.6577
2026-04-03,South Laura,3.91,"$660,453",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA,32.833,-83.9542
2026-04-13,Adamsshire,3.9,"$434,653",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA,34.64,-98.3603
2026-04-06,Thompsonchester,3.9,"$573,761",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS,30.3359,-106.5949
2026-04-14,Robertsfort,3.89,"$489,796",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,31.1885,-86.6888
2026-04-03,South Carlshire,3.88,"$317,568",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,38.1045,-95.3799
2026-04-15,Williamsfurt,3.87,"$348,604",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS,33.7309,-95.0966
2026-04-16,Eddieburgh,3.87,"$765,724",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS,36.0456,-102.4374
2026-04-06,New Taraburgh,3.86,"$786,539",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,37.7959,-83.1
2026-04-05,North Rebeccatown,3.86,"$742,569",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS,26.598,-100.5262
2026-04-24,West Robert,3.86,"$232,665",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,42.2556,-99.6113
2026-04-19,Wilsonborough,3.85,"$318,396",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA,32.7039,-83.0197
2026-04-22,West David,3.84,"$630,748",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,38.9203,-81.6295
2026-04-19,South John,3.83,"$241,505",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,39.1914,-99.169
2026-04-20,Elizabethton,3.82,"$508,362",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,37.7322,-101.7292
2026-04-24,Jeffreyport,3.8,"$695,727",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA,30.4461,-85.062
2026-04-01,New Arthur,3.73,"$207,541",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,37.1973,-101.0374
2026-04-10,East Andrewfort,3.73,"$431,522",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS,25.9101,-96.0328
2026-04-21,Christophermouth,3.73,"$501,653",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,31.7048,-84.9328
2026-04-04,Livingstonfurt,3.7,"$328,762",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA,36.2451,-102.4072
2026-04-20,Popeland,3.68,"$233,900",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,41.9023,-101.281
2026-04-18,New Annettehaven,3.67,"$363,455",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,33.6205,-85.1211
2026-04-02,North Madison,3.67,"$337,877",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,39.5114,-97.4421
2026-04-18,Port Randallton,3.65,"$615,542",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,37.0474,-81.3898
2026-04-22,Deniseport,3.65,"$266,272",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,42.6902,-100.2114
2026-04-12,Rubenville,3.64,"$564,912",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,40.3722,-97.104
2026-04-06,South Matthew,3.64,"$233,460",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,37.7777,-97.4925
2026-04-10,Port Alexa,3.62,"$409,046",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,40.2625,-101.4085
2026-04-14,New Matthew,3.62,"$458,330",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS,38.8525,-101.7865
2026-04-08,Pereztown,3.6,"$333,367",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA,33.4711,-81.2186
2026-04-10,Michaelstad,3.58,"$524,319",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,32.541,-85.1228
2026-04-14,North Darylton,3.57,"$701,968",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO,39.3981,-105.1669
2026-04-17,Bassside,3.57,"$541,912",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,40.1962,-96.184
2026-04-15,Erikaton,3.56,"$846,861",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,37.8058,-82.7956
2026-04-03,Lake Christine,3.54,"$909,664",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO,38.7334,-102.5966
2026-04-20,Lake Makayla,3.52,"$594,627",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,41.4589,-98.4349
2026-04-11,Jesseville,3.51,"$331,838",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,42.5892,-102.1004
2026-04-21,North Michael,3.5,"$624,508",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,37.7597,-79.5918
2026-04-17,Charlesburgh,3.49,"$709,343",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,38.4283,-77.108
2026-04-12,Crystalchester,3.48,"$307,495",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,30.2038,-85.7611
2026-04-15,Lake Kathleenside,3.47,"$288,185",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA,41.9682,-100.0166
2026-04-14,Sheppardview,3.47,"$617,468",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS,25.8049,-96.4339
2026-04-12,South Matthewfort,3.46,"$737,820",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA,33.0742,-83.0883
2026-04-13,Harmonview,3.44,"$525,842",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA,35.4701,-102.4004
2026-04-17,Port Brianaberg,3.43,"$611,257",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA,32.8775,-81.4553
2026-04-16,West Robertview,3.4,"$488,017",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,31.9025,-86.6176
2026-04-03,Denisefort,3.39,"$192,712",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA,33.0131,-85.3387
2026-04-18,South Robert,3.38,"$359,631",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,39.2966,-75.9335
2026-04-05,North Meghan,3.37,"$498,414",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS,27.1263,-103.2765
2026-04-17,Solomonberg,3.36,"$786,593",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA,39.2255,-80.3294
