Street Address,City,State,Storm Magnitude,AI Damage Score %,Likely Insurance,Event Date
313 Oak St,Jonathanside,OKLAHOMA,1.94,94.6,Unknown,2026-04-24
799 Washington Ave,,TEXAS,69.0,93.9,Unknown,2024-08-03
200 W 23rd St,Cheyenne,WY,2.25,92.0,Unknown,2026-04-17
200 Central Ave,Cheyenne,WY,2.25,92.0,Unknown,2026-04-17
250 Warren Ave,Cheyenne,WY,2.25,92.0,Unknown,2026-04-17
200 S Meridian Ave,Wichita,KS,2.25,92.0,Unknown,2026-04-24
200 S Hillside St,Wichita,KS,2.25,92.0,Unknown,2026-04-24
250 E 2nd St N,Wichita,KS,2.25,92.0,Unknown,2026-04-24
936 Maple Ave,Torresmouth,OKLAHOMA,1.75,91.2,Unknown,2026-03-26
241 Pine Blvd,Jonathanside,OKLAHOMA,1.94,91.2,Unknown,2026-04-24
200 SW 10th Ave,Topeka,KS,2.5,90.0,Unknown,2026-04-14
200 SW 10th St,Topeka,KS,2.5,90.0,Unknown,2026-04-14
250 SW Jackson St,Topeka,KS,2.5,90.0,Unknown,2026-04-14
200 S Freeborn St,Marion,KS,2.0,90.0,Unknown,2026-04-24
200 S Lincoln St,Marion,KS,2.0,90.0,Unknown,2026-04-24
250 E Main St,Marion,KS,2.0,90.0,Unknown,2026-04-24
200 E Pershing Blvd,Cheyenne,WY,2.0,88.0,Unknown,2026-04-17
200 E Lincolnway,Cheyenne,WY,2.0,88.0,Unknown,2026-04-17
250 E 22nd St,Cheyenne,WY,2.0,88.0,Unknown,2026-04-17
200 3rd St,Manhattan,KS,2.0,85.0,Unknown,2026-04-14
200 Pierre St,Manhattan,KS,2.0,85.0,Unknown,2026-04-14
250 Juliette Ave,Manhattan,KS,2.0,85.0,Unknown,2026-04-14
200 S Topeka St,Wichita,KS,1.75,85.0,Unknown,2026-04-24
200 S Broadway,Wichita,KS,1.75,85.0,Unknown,2026-04-24
250 E 1st St N,Wichita,KS,1.75,85.0,Unknown,2026-04-24
281 Oak St,Jonathanside,OKLAHOMA,1.94,82.7,Unknown,2026-04-24
200 E 4th Ave,Hutchinson,KS,1.75,82.0,Unknown,2026-04-12
200 N Main St,Hutchinson,KS,1.75,82.0,Unknown,2026-04-12
250 W 1st Ave,Hutchinson,KS,1.75,82.0,Unknown,2026-04-12
200 W Dublin-Granville Rd,Worthington,OH,1.75,80.0,Unknown,2026-04-25
200 N High St,Worthington,OH,1.75,80.0,Unknown,2026-04-25
250 W New England Ave,Worthington,OH,1.75,80.0,Unknown,2026-04-25
200 N Walnut St,Peabody,KS,1.5,78.0,Unknown,2026-04-12
200 N Sycamore St,Peabody,KS,1.5,78.0,Unknown,2026-04-12
250 E 2nd St,Peabody,KS,1.5,78.0,Unknown,2026-04-12
277 Cedar Ln,Torresmouth,OKLAHOMA,1.75,63.2,Unknown,2026-03-26
"822 County Road W, , Nebraska 68464",Rubenville,NEBRASKA,3.64,61.69,Unknown,2026-04-12
232 Washington Ave,Torresmouth,OKLAHOMA,1.75,61.1,Unknown,2026-03-26
125 E 2nd St,Edmond,OK,2.75,58.73,Unknown,2026-03-10
137 E 2nd St,Edmond,OK,2.75,57.78,Unknown,2026-03-10
135 E 2nd St,Edmond,OK,2.75,57.63,Unknown,2026-03-10
139 E 2nd St,Edmond,OK,2.75,57.38,Unknown,2026-03-10
141 E 2nd St,Edmond,OK,2.75,57.26,Unknown,2026-03-10
524 Oak St,,TEXAS,69.0,57.0,Unknown,2024-08-03
143 E 2nd St,Edmond,OK,2.75,56.98,Unknown,2026-03-10
129 E 2nd St,Edmond,OK,2.75,56.84,Unknown,2026-03-10
133 E 2nd St,Edmond,OK,2.75,56.61,Unknown,2026-03-10
151 E 2nd St,Edmond,OK,2.75,55.97,Unknown,2026-03-10
131 E 2nd St,Edmond,OK,2.75,55.74,Unknown,2026-03-10
153 E 2nd St,Edmond,OK,2.75,55.6,Unknown,2026-03-10
155 E 2nd St,Edmond,OK,2.75,55.6,Unknown,2026-03-10
157 E 2nd St,Edmond,OK,2.75,55.32,Unknown,2026-03-10
159 E 2nd St,Edmond,OK,2.75,54.74,Unknown,2026-03-10
163 E 2nd St,Edmond,OK,2.75,54.45,Unknown,2026-03-10
161 E 2nd St,Edmond,OK,2.75,54.18,Unknown,2026-03-10
165 E 2nd St,Edmond,OK,2.75,53.97,Unknown,2026-03-10
167 E 2nd St,Edmond,OK,2.75,53.25,Unknown,2026-03-10
173 E 2nd St,Edmond,OK,2.75,52.61,Unknown,2026-03-10
169 E 2nd St,Edmond,OK,2.75,52.58,Unknown,2026-03-10
"85547 L Road, , Nebraska 68924",Ellenshire,NEBRASKA,3.54,52.56,Unknown,2026-03-29
171 E 2nd St,Edmond,OK,2.75,52.48,Unknown,2026-03-10
175 E 2nd St,Edmond,OK,2.75,52.32,Unknown,2026-03-10
177 E 2nd St,Edmond,OK,2.75,51.67,Unknown,2026-03-10
203 W Main St,Norman,OK,2.0,51.27,Unknown,2026-03-10
123 E 2nd St,Edmond,OK,2.75,51.18,Unknown,2026-03-10
149 E 2nd St,Edmond,OK,2.75,50.53,Unknown,2026-03-10
263 W Main St,Norman,OK,2.0,50.51,Unknown,2026-03-10
269 W Main St,Norman,OK,2.0,50.45,Unknown,2026-03-10
145 E 2nd St,Edmond,OK,2.75,50.38,Unknown,2026-03-10
147 E 2nd St,Edmond,OK,2.75,50.38,Unknown,2026-03-10
265 W Main St,Norman,OK,2.0,50.34,Unknown,2026-03-10
227 W Main St,Norman,OK,2.0,50.24,Unknown,2026-03-10
271 W Main St,Norman,OK,2.0,50.24,Unknown,2026-03-10
251 W Main St,Norman,OK,2.0,50.23,Unknown,2026-03-10
257 W Main St,Norman,OK,2.0,50.22,Unknown,2026-03-10
249 W Main St,Norman,OK,2.0,50.2,Unknown,2026-03-10
245 W Main St,Norman,OK,2.0,50.19,Unknown,2026-03-10
247 W Main St,Norman,OK,2.0,50.17,Unknown,2026-03-10
255 W Main St,Norman,OK,2.0,50.17,Unknown,2026-03-10
275 W Main St,Norman,OK,2.0,50.15,Unknown,2026-03-10
253 W Main St,Norman,OK,2.0,50.14,Unknown,2026-03-10
267 W Main St,Norman,OK,2.0,50.11,Unknown,2026-03-10
241 W Main St,Norman,OK,2.0,50.1,Unknown,2026-03-10
243 W Main St,Norman,OK,2.0,50.09,Unknown,2026-03-10
261 W Main St,Norman,OK,2.0,50.07,Unknown,2026-03-10
259 W Main St,Norman,OK,2.0,50.04,Unknown,2026-03-10
273 W Main St,Norman,OK,2.0,49.99,Unknown,2026-03-10
239 W Main St,Norman,OK,2.0,49.89,Unknown,2026-03-10
115 E 2nd St,Edmond,OK,2.75,49.74,Unknown,2026-03-10
117 E 2nd St,Edmond,OK,2.75,49.63,Unknown,2026-03-10
237 W Main St,Norman,OK,2.0,49.62,Unknown,2026-03-10
233 W Main St,Norman,OK,2.0,49.58,Unknown,2026-03-10
235 W Main St,Norman,OK,2.0,49.5,Unknown,2026-03-10
113 E 2nd St,Edmond,OK,2.75,49.47,Unknown,2026-03-10
201 W Main St,Norman,OK,2.0,49.3,Unknown,2026-03-10
229 SW Jackson St,,NATIONAL_EXHAUSTIVE,2.0,49.07,Unknown,2026-04-25
