Date,City,Intensity,Valuation,Owner,Phone,Evidence,State
2026-03-15,Tulsa,80.0,"$250,000",DEEP SEARCH REQ,UNVERIFIED,FORENSIC VISION CONFIRMED,OKLAHOMA
2026-03-14,North Mary,3.99,"$307,032",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-23,South Karenland,3.99,"$254,712",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-30,East Julie,3.98,"$545,819",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-06,Lake Douglaschester,3.98,"$265,864",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-18,West Kristenton,3.97,"$494,240",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-13,East Elizabeth,3.97,"$424,916",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-07,Shawnstad,3.96,"$903,408",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-17,Edwardsberg,3.95,"$279,651",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-15,Harriston,3.95,"$212,814",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-03-18,Port Alexandra,3.94,"$863,817",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-03-02,South Johnshire,3.93,"$499,246",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-20,Bentleyfort,3.93,"$380,788",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-03,South Laura,3.91,"$660,453",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-02,Melissaview,3.91,"$428,354",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-15,Robinsonland,3.91,"$411,854",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-18,South Maria,3.91,"$228,001",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-06,Thompsonchester,3.9,"$573,761",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-13,Adamsshire,3.9,"$434,653",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-03-08,Johnfort,3.9,"$215,192",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-14,Robertsfort,3.89,"$489,796",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-04-03,South Carlshire,3.88,"$317,568",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,KANSAS
2026-04-16,Eddieburgh,3.87,"$765,724",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-21,South William,3.87,"$488,657",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,COLORADO
2026-04-15,Williamsfurt,3.87,"$348,604",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-04-06,New Taraburgh,3.86,"$786,539",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-04-05,North Rebeccatown,3.86,"$742,569",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,TEXAS
2026-03-07,Emilyview,3.86,"$545,783",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-13,North Rebecca,3.86,"$386,312",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,OKLAHOMA
2026-04-24,West Robert,3.86,"$232,665",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-03-03,Port Theresa,3.85,"$630,417",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
2026-04-19,Wilsonborough,3.85,"$318,396",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-03-06,Lake Darryl,3.85,"$213,940",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,ALABAMA
2026-03-03,Heatherberg,3.84,"$863,196",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-25,Johnsonshire,3.84,"$715,607",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,GEORGIA
2026-04-22,West David,3.84,"$630,748",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,VIRGINIA
2026-03-08,Kimberlyton,3.83,"$424,301",STORM IMPACT DETECTED,VERIFYING...,INTENSITY-BASED INFERENCE,NEBRASKA
